Gene_ID	Tissue	Ribo_TPM	RNA_TPM	TE
ENSG00000211950	Fibroblasts	0	0	NA
ENSG00000138675	Fibroblasts	9.054773932	14.78526307	0.6124188585032732
ENSG00000155545	Fibroblasts	12.54062604	13.34045192	0.9400450685781565
ENSG00000104808	Fibroblasts	0.070220344	0.102121827	0.687613471701794
ENSG00000175893	Fibroblasts	8.318952394	16.49035896	0.5044736997041088
ENSG00000185842	Fibroblasts	0.321343011	0.696009703	0.46169329193963843
ENSG00000274267	Fibroblasts	64.79493186	0.061844637	1047.7049426290594
ENSG00000087085	Fibroblasts	1.383808272	1.743119573	0.7938688162501633
ENSG00000181617	Fibroblasts	0.143008425	0.137761582	1.0380864020565617
ENSG00000184206	Fibroblasts	0	0.012110013	0
ENSG00000116062	Fibroblasts	13.58779448	16.27026649	0.835130419550983
ENSG00000106537	Fibroblasts	122.9426701	107.9708877	1.1386649931192516
ENSG00000185880	Fibroblasts	0.080726008	1.573334637	0.05130886087522142
ENSG00000009780	Fibroblasts	7.071286617	5.746687455	1.2304978602668761
ENSG00000188846	Fibroblasts	101.2587123	355.0344778	0.2852081097234777
ENSG00000115263	Fibroblasts	0	0.014177803	0
ENSG00000157796	Fibroblasts	7.184330796	16.54980873	0.43410355450071725
ENSG00000159388	Fibroblasts	47.20258111	19.03300283	2.4800385694052878
ENSG00000175920	Fibroblasts	0.124255258	0.184573755	0.6732011168110005
ENSG00000105664	Fibroblasts	16.5179902	13.70403179	1.2053379949142689
ENSG00000079557	Fibroblasts	8.6668e-4	0.001432325	0.6050861361771944
ENSG00000196678	Fibroblasts	1.464671366	6.186900241	0.23673751134595025
ENSG00000206172	Fibroblasts	0	0.007982079	0
ENSG00000140009	Fibroblasts	0.006937281	0.016170927	0.42899711315251127
ENSG00000125650	Fibroblasts	0.066150514	0.392137216	0.16869226204737475
ENSG00000123358	Fibroblasts	0.653822813	5.164163481	0.12660769075292563
ENSG00000072518	Fibroblasts	9.001342791	11.78113279	0.7640473077971309
ENSG00000253309	Fibroblasts	2.742091866	2.325356458	1.1792135595238706
ENSG00000273398	Fibroblasts	121.4901191	33.90038984	3.583738112552631
