hgnc,ensg
HGNC:2993,ENSG00000159147
HGNC:26933,ENSG00000198917
HGNC:6037,ENSG00000143621
HGNC:2712,ENSG00000175203
HGNC:9553,ENSG00000100519
HGNC:24124,ENSG00000136518
HGNC:15446,ENSG00000105618
HGNC:17042,ENSG00000179950
HGNC:1622,ENSG00000135624
HGNC:5045,ENSG00000104824
HGNC:1745,ENSG00000097046
HGNC:12950,ENSG00000168066
HGNC:9227,ENSG00000130810
HGNC:24324,ENSG00000188986
HGNC:1925,ENSG00000149554
HGNC:29201,ENSG00000240682
HGNC:9137,ENSG00000123737
HGNC:18999,ENSG00000058729
HGNC:2239,ENSG00000141030
HGNC:18276,ENSG00000058262
HGNC:26162,ENSG00000121350
HGNC:8891,ENSG00000142657
HGNC:25726,ENSG00000001497
HGNC:1744,ENSG00000094804
HGNC:20932,ENSG00000077514
HGNC:12998,ENSG00000010244
HGNC:10475,ENSG00000183207
HGNC:7806,ENSG00000066136
HGNC:9119,ENSG00000105819
HGNC:25758,ENSG00000164338
HGNC:10782,ENSG00000116754
HGNC:9854,ENSG00000100401
HGNC:18667,ENSG00000165688
HGNC:2747,ENSG00000110367
HGNC:12840,ENSG00000134684
HGNC:13051,ENSG00000109917
HGNC:28762,ENSG00000171763
HGNC:1911,ENSG00000159259
HGNC:4549,ENSG00000169727
HGNC:14621,ENSG00000143228
HGNC:5041,ENSG00000169045
HGNC:18684,ENSG00000105671
HGNC:3213,ENSG00000254772
HGNC:1723,ENSG00000117399
HGNC:18247,ENSG00000122692
HGNC:3260,ENSG00000115211
HGNC:1615,ENSG00000166226
HGNC:7629,ENSG00000196531
HGNC:1623,ENSG00000156261
HGNC:8574,ENSG00000007168
HGNC:12761,ENSG00000166483
HGNC:17896,ENSG00000110107
HGNC:17850,ENSG00000172273
HGNC:6327,ENSG00000151657
HGNC:29352,ENSG00000185085
HGNC:291,ENSG00000239900
HGNC:19889,ENSG00000073536
HGNC:13236,ENSG00000105176
HGNC:13450,ENSG00000172530
HGNC:18193,ENSG00000136271
HGNC:14098,ENSG00000138442
HGNC:12754,ENSG00000071127
HGNC:26265,ENSG00000162408
HGNC:4816,ENSG00000170445
HGNC:1596,ENSG00000090061
HGNC:11301,ENSG00000100883
HGNC:4854,ENSG00000171720
HGNC:1617,ENSG00000115484
HGNC:4055,ENSG00000196419
HGNC:17359,ENSG00000138750
HGNC:20071,ENSG00000168883
HGNC:13871,ENSG00000111605
HGNC:9560,ENSG00000108344
HGNC:7857,ENSG00000136448
HGNC:12915,ENSG00000172262
HGNC:28484,ENSG00000127804
HGNC:15911,ENSG00000101361
HGNC:20085,ENSG00000111364
HGNC:9557,ENSG00000197170
HGNC:19235,ENSG00000108270
HGNC:6215,ENSG00000065427
HGNC:18682,ENSG00000213782
HGNC:30747,ENSG00000166200
HGNC:649,ENSG00000095139
HGNC:4621,ENSG00000103342
HGNC:30220,ENSG00000163933
HGNC:9556,ENSG00000108671
HGNC:3592,ENSG00000179115
HGNC:16829,ENSG00000114767
HGNC:9302,ENSG00000105568
HGNC:25653,ENSG00000126226
HGNC:17800,ENSG00000116120
HGNC:23114,ENSG00000105656
HGNC:30076,ENSG00000186141
HGNC:5275,ENSG00000172977
HGNC:29926,ENSG00000055044
HGNC:1616,ENSG00000163468
HGNC:18303,ENSG00000047249
HGNC:5044,ENSG00000165119
HGNC:25444,ENSG00000123485
HGNC:24250,ENSG00000169251
HGNC:25459,ENSG00000006712
HGNC:6556,ENSG00000168924
HGNC:10774,ENSG00000116560
HGNC:4655,ENSG00000110768
HGNC:15702,ENSG00000131013
HGNC:25791,ENSG00000122484
HGNC:7723,ENSG00000139350
HGNC:7032,ENSG00000140259
HGNC:4378,ENSG00000163655
HGNC:28954,ENSG00000113593
HGNC:9178,ENSG00000100479
HGNC:18656,ENSG00000124784
HGNC:854,ENSG00000147416
HGNC:2741,ENSG00000088205
HGNC:5046,ENSG00000099783
HGNC:13723,ENSG00000102974
HGNC:2678,ENSG00000115866
HGNC:16461,ENSG00000084463
HGNC:29931,ENSG00000163938
HGNC:30661,ENSG00000126261
HGNC:16718,ENSG00000005100
HGNC:12470,ENSG00000144744
HGNC:7213,ENSG00000124383
HGNC:25592,ENSG00000104299
HGNC:851,ENSG00000114573
HGNC:9888,ENSG00000117222
HGNC:15879,ENSG00000132792
HGNC:24309,ENSG00000108848
HGNC:2743,ENSG00000064703
HGNC:9089,ENSG00000171566
HGNC:3278,ENSG00000100353
HGNC:30346,ENSG00000085721
HGNC:17350,ENSG00000168438
HGNC:17349,ENSG00000136875
HGNC:11551,ENSG00000185024
HGNC:13266,ENSG00000089737
HGNC:6948,ENSG00000100297
HGNC:25512,ENSG00000134186
HGNC:29938,ENSG00000105298
HGNC:9870,ENSG00000113643
HGNC:8848,ENSG00000100029
HGNC:20696,ENSG00000134014
HGNC:7993,ENSG00000115216
HGNC:18261,ENSG00000182446
HGNC:10073,ENSG00000111880
HGNC:9261,ENSG00000100023
HGNC:11540,ENSG00000106290
HGNC:9162,ENSG00000100941
HGNC:28440,ENSG00000117597
HGNC:16696,ENSG00000100603
HGNC:2325,ENSG00000165934
HGNC:19989,ENSG00000176248
HGNC:17029,ENSG00000122882
HGNC:2964,ENSG00000077380
HGNC:26010,ENSG00000040275
HGNC:18674,ENSG00000183258
HGNC:26052,ENSG00000127054
HGNC:11533,ENSG00000115750
HGNC:2326,ENSG00000119203
HGNC:1724,ENSG00000094880
HGNC:1739,ENSG00000093009
HGNC:3214,ENSG00000167658
HGNC:29029,ENSG00000101407
HGNC:13923,ENSG00000227057
HGNC:19042,ENSG00000120539
HGNC:8127,ENSG00000147162
HGNC:25071,ENSG00000025770
HGNC:29101,ENSG00000176915
HGNC:5244,ENSG00000113013
HGNC:7643,ENSG00000134440
HGNC:12608,ENSG00000103194
HGNC:2375,ENSG00000042429
HGNC:21535,ENSG00000107937
HGNC:9804,ENSG00000161800
HGNC:12666,ENSG00000165280
HGNC:11302,ENSG00000167881
HGNC:7867,ENSG00000111641
HGNC:118,ENSG00000100412
HGNC:69,ENSG00000164163
HGNC:11763,ENSG00000072274
HGNC:26151,ENSG00000005175
HGNC:25652,ENSG00000041802
