Gene_ID,Num.Enhancers
ENSG00000061455,4
ENSG00000061656,16
ENSG00000061676,3
ENSG00000061794,17
ENSG00000061918,3
ENSG00000061936,7
ENSG00000061938,38
ENSG00000061987,7
ENSG00000062038,16
ENSG00000062096,2
ENSG00000062194,3
ENSG00000062282,9
ENSG00000062370,2
ENSG00000062485,22
ENSG00000062524,8
ENSG00000062582,22
ENSG00000062598,13
ENSG00000062650,11
ENSG00000062716,45
ENSG00000062725,8
ENSG00000062822,15
ENSG00000063015,9
ENSG00000063046,32
ENSG00000063169,17
ENSG00000063176,27
ENSG00000063177,23
ENSG00000063180,26
ENSG00000063241,13
ENSG00000063244,12
ENSG00000063245,12
ENSG00000063322,11
ENSG00000063438,12
ENSG00000063587,5
ENSG00000063601,1
ENSG00000063660,10
ENSG00000063761,4
ENSG00000063854,13
ENSG00000063978,15
ENSG00000064012,35
ENSG00000064042,16
ENSG00000064102,15
ENSG00000064115,22
ENSG00000064195,12
ENSG00000064199,8
ENSG00000064201,4
ENSG00000064205,6
ENSG00000064218,6
ENSG00000064225,16
ENSG00000064270,18
ENSG00000064300,16
ENSG00000064309,17
ENSG00000064313,6
ENSG00000064393,34
ENSG00000064419,6
ENSG00000064489,7
ENSG00000064490,8
ENSG00000064545,7
ENSG00000064547,7
ENSG00000064601,19
ENSG00000064607,11
ENSG00000064651,11
ENSG00000064652,5
ENSG00000064655,16
ENSG00000064666,29
ENSG00000064687,37
ENSG00000064692,6
ENSG00000064703,7
ENSG00000064726,6
ENSG00000064763,16
ENSG00000064787,18
ENSG00000064886,29
ENSG00000064932,33
ENSG00000064933,3
ENSG00000064961,20
ENSG00000064989,7
ENSG00000064995,21
ENSG00000064999,36
ENSG00000065000,21
ENSG00000065029,27
ENSG00000065054,16
ENSG00000065057,23
ENSG00000065060,23
ENSG00000065135,19
ENSG00000065150,7
ENSG00000065154,35
ENSG00000065183,27
ENSG00000065243,9
ENSG00000065268,21
ENSG00000065308,23
ENSG00000065320,15
ENSG00000065325,2
ENSG00000065328,8
ENSG00000065357,32
ENSG00000065361,13
ENSG00000065371,12
ENSG00000065413,17
ENSG00000065427,15
ENSG00000065457,12
ENSG00000065485,5
ENSG00000065491,38
ENSG00000065518,8
ENSG00000065526,44
ENSG00000065534,16
ENSG00000065548,10
ENSG00000065559,3
ENSG00000065600,10
ENSG00000065609,3
ENSG00000065613,29
ENSG00000065615,2
ENSG00000065618,21
ENSG00000065621,24
ENSG00000065665,18
ENSG00000065675,40
ENSG00000065717,20
ENSG00000065802,6
ENSG00000065809,38
ENSG00000065833,8
ENSG00000065882,35
ENSG00000065883,10
ENSG00000065911,16
ENSG00000065923,15
ENSG00000065970,16
ENSG00000065978,11
ENSG00000065989,26
ENSG00000066027,8
ENSG00000066032,9
ENSG00000066044,8
ENSG00000066056,3
ENSG00000066084,11
ENSG00000066117,15
ENSG00000066135,16
ENSG00000066136,24
ENSG00000066185,8
ENSG00000066230,14
ENSG00000066248,8
ENSG00000066279,4
ENSG00000066294,38
ENSG00000066322,13
ENSG00000066336,14
ENSG00000066379,17
ENSG00000066382,5
ENSG00000066405,4
ENSG00000066422,22
ENSG00000066427,10
ENSG00000066455,30
ENSG00000066468,23
ENSG00000066557,7
ENSG00000066583,3
ENSG00000066629,10
ENSG00000066651,31
ENSG00000066654,10
ENSG00000066697,8
ENSG00000066735,4
ENSG00000066739,1
ENSG00000066777,2
ENSG00000066813,2
ENSG00000066827,16
ENSG00000066855,8
ENSG00000066923,18
ENSG00000066926,8
ENSG00000066933,6
ENSG00000067048,1
ENSG00000067057,26
ENSG00000067064,6
ENSG00000067066,14
ENSG00000067082,94
ENSG00000067113,17
ENSG00000067141,5
ENSG00000067167,4
ENSG00000067177,5
ENSG00000067182,55
ENSG00000067191,20
ENSG00000067208,7
ENSG00000067221,14
ENSG00000067225,12
ENSG00000067248,18
ENSG00000067334,20
ENSG00000067365,13
ENSG00000067369,10
ENSG00000067445,4
ENSG00000067533,4
ENSG00000067560,17
ENSG00000067596,24
ENSG00000067601,8
ENSG00000067606,33
ENSG00000067646,1
ENSG00000067704,4
ENSG00000067715,9
ENSG00000067798,11
ENSG00000067829,6
ENSG00000067836,7
ENSG00000067840,3
ENSG00000067842,1
ENSG00000067900,3
ENSG00000067955,18
ENSG00000067992,4
ENSG00000068001,11
ENSG00000068024,37
ENSG00000068028,19
ENSG00000068078,5
ENSG00000068079,20
ENSG00000068097,28
ENSG00000068120,41
ENSG00000068137,22
ENSG00000068305,14
ENSG00000068308,18
ENSG00000068323,11
ENSG00000068354,8
ENSG00000068366,9
ENSG00000068383,21
ENSG00000068394,12
ENSG00000068400,11
ENSG00000068438,9
ENSG00000068489,10
ENSG00000068615,10
ENSG00000068650,26
ENSG00000068654,28
ENSG00000068697,25
ENSG00000068724,39
ENSG00000068745,10
ENSG00000068781,5
ENSG00000068784,14
ENSG00000068796,4
ENSG00000068831,23
ENSG00000068878,17
ENSG00000068885,7
ENSG00000068903,26
ENSG00000068912,19
ENSG00000068971,20
ENSG00000068976,13
ENSG00000069011,10
ENSG00000069018,3
ENSG00000069020,33
ENSG00000069122,15
ENSG00000069188,12
ENSG00000069206,1
ENSG00000069248,8
ENSG00000069275,21
ENSG00000069329,7
ENSG00000069345,4
ENSG00000069399,42
ENSG00000069424,14
ENSG00000069431,4
ENSG00000069482,3
ENSG00000069493,38
ENSG00000069509,7
ENSG00000069535,2
ENSG00000069667,29
ENSG00000069696,6
ENSG00000069702,20
ENSG00000069764,1
ENSG00000069812,15
ENSG00000069849,16
ENSG00000069869,9
ENSG00000069943,9
ENSG00000069956,20
ENSG00000069966,19
ENSG00000069974,13
ENSG00000069998,15
ENSG00000070010,15
ENSG00000070018,14
ENSG00000070019,15
ENSG00000070031,5
ENSG00000070047,25
ENSG00000070061,19
ENSG00000070081,12
ENSG00000070087,7
ENSG00000070159,21
ENSG00000070182,5
ENSG00000070190,5
ENSG00000070193,1
ENSG00000070214,25
ENSG00000070269,1
ENSG00000070366,43
ENSG00000070367,3
ENSG00000070371,10
ENSG00000070388,13
ENSG00000070404,24
ENSG00000070413,6
ENSG00000070423,16
ENSG00000070444,29
ENSG00000070476,4
ENSG00000070495,34
ENSG00000070501,19
ENSG00000070526,24
ENSG00000070540,44
ENSG00000070601,6
ENSG00000070610,33
ENSG00000070614,30
ENSG00000070669,5
ENSG00000070718,29
ENSG00000070729,18
ENSG00000070731,28
ENSG00000070748,3
ENSG00000070756,36
ENSG00000070759,11
ENSG00000070761,11
ENSG00000070770,6
ENSG00000070778,7
ENSG00000070785,15
ENSG00000070808,13
ENSG00000070814,31
ENSG00000070831,21
ENSG00000070882,14
ENSG00000070886,1
ENSG00000070915,9
ENSG00000070950,8
ENSG00000070961,30
ENSG00000071051,23
ENSG00000071054,20
ENSG00000071073,38
ENSG00000071082,13
ENSG00000071127,10
ENSG00000071189,3
ENSG00000071203,2
ENSG00000071205,17
ENSG00000071242,37
ENSG00000071243,6
ENSG00000071246,18
ENSG00000071282,8
ENSG00000071462,22
ENSG00000071537,4
ENSG00000071539,25
ENSG00000071553,27
ENSG00000071564,10
ENSG00000071575,5
ENSG00000071626,31
ENSG00000071655,6
ENSG00000071794,12
ENSG00000071859,10
ENSG00000071889,23
ENSG00000071894,14
ENSG00000071909,6
ENSG00000071967,2
ENSG00000071991,3
ENSG00000071994,3
ENSG00000072041,5
ENSG00000072042,10
ENSG00000072062,32
ENSG00000072071,18
ENSG00000072110,31
ENSG00000072121,11
ENSG00000072133,1
ENSG00000072134,17
ENSG00000072135,4
ENSG00000072163,19
ENSG00000072182,7
ENSG00000072195,12
ENSG00000072201,10
ENSG00000072210,26
ENSG00000072274,21
ENSG00000072310,24
ENSG00000072315,1
ENSG00000072364,6
ENSG00000072401,3
ENSG00000072415,10
ENSG00000072422,8
ENSG00000072501,9
ENSG00000072506,6
ENSG00000072518,20
ENSG00000072571,6
ENSG00000072609,15
ENSG00000072657,2
ENSG00000072682,32
ENSG00000072694,2
ENSG00000072736,40
ENSG00000072756,5
ENSG00000072778,19
ENSG00000072786,28
ENSG00000072803,20
ENSG00000072818,21
ENSG00000072832,6
ENSG00000072840,3
ENSG00000072849,5
ENSG00000072858,14
ENSG00000072864,22
ENSG00000072952,26
ENSG00000072954,22
ENSG00000072958,36
ENSG00000073008,21
ENSG00000073050,27
ENSG00000073060,45
ENSG00000073067,6
ENSG00000073111,19
ENSG00000073146,38
ENSG00000073150,24
ENSG00000073169,32
ENSG00000073282,14
ENSG00000073331,8
ENSG00000073350,49
ENSG00000073417,21
ENSG00000073464,4
ENSG00000073536,10
ENSG00000073578,10
ENSG00000073584,57
ENSG00000073605,28
ENSG00000073614,21
ENSG00000073670,13
ENSG00000073711,2
ENSG00000073712,5
ENSG00000073734,2
ENSG00000073737,9
ENSG00000073754,3
ENSG00000073756,14
ENSG00000073792,23
ENSG00000073803,24
ENSG00000073849,26
ENSG00000073861,13
ENSG00000073910,22
ENSG00000073921,21
ENSG00000073969,3
ENSG00000074047,6
ENSG00000074054,10
ENSG00000074071,20
ENSG00000074181,4
ENSG00000074201,7
ENSG00000074211,6
ENSG00000074219,17
ENSG00000074266,24
ENSG00000074276,13
ENSG00000074317,5
ENSG00000074319,8
ENSG00000074356,32
ENSG00000074370,24
ENSG00000074410,24
ENSG00000074416,28
ENSG00000074527,12
ENSG00000074582,24
ENSG00000074590,13
ENSG00000074603,11
ENSG00000074621,13
ENSG00000074657,23
ENSG00000074660,22
ENSG00000074695,8
ENSG00000074696,9
ENSG00000074706,17
ENSG00000074755,20
ENSG00000074800,36
ENSG00000074803,3
ENSG00000074842,14
ENSG00000074855,10
ENSG00000074935,32
ENSG00000074964,17
ENSG00000074966,11
ENSG00000075035,7
ENSG00000075043,14
ENSG00000075073,32
ENSG00000075089,3
